FileType	fastq	Read submission file type								
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5	library_construction_protocol
AK_BKCF_0_AF3_230409	PRJEB115259	PromethION	AK_BKCF_0_AF3_230409_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF3_230409.fastq.gz	2549b5e8df27426ae6e8dd4e78007812	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_BKCF_0_AF3_231114	PRJEB115259	PromethION	AK_BKCF_0_AF3_231114_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF3_231114.fastq.gz	fea4233b61cdbef72710d07890883074	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_BKCF_0_AF4_230409	PRJEB115259	PromethION	AK_BKCF_0_AF4_230409_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF4_230409.fastq.gz	dde8d1efc363feeacfbe94740c53abb4	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_BKCF_0_AF4_231026	PRJEB115259	PromethION	AK_BKCF_0_AF4_231026_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF4_231026.fastq.gz	d21c533135ac721555c44294c7fbcb4a	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_BKCF_0_AF2_230312	PRJEB115259	PromethION	AK_BKCF_0_AF2_230312_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF2_230312.fastq.gz	51a94002cfd2e0ff0742fe25d5ab112c	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_BKCF_0_AF2_231026	PRJEB115259	PromethION	AK_BKCF_0_AF2_231026_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF2_231026.fastq.gz	b5435a049ad92ab1f574f657b7bcbcb0	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_BKCF_0_AF1_230409	PRJEB115259	PromethION	AK_BKCF_0_AF1_230409_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF1_230409.fastq.gz	21687b9256dc9d0f548569b11dd294b5	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_BKCF_0_AF1_230911	PRJEB115259	PromethION	AK_BKCF_0_AF1_230911_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_BKCF_0_AF1_230911.fastq.gz	0bc7cf8c011856abb87cd939eae0417d	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_RR_F_PM3_230507	PRJEB115259	PromethION	AK_RR_F_PM3_230507_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_RR_F_PM3_230507.fastq.gz	1326bb08bac080bc515e64272a09b043	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
AK_RR_F_PM3_231026	PRJEB115259	PromethION	AK_RR_F_PM3_231026_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	AK_RR_F_PM3_231026.fastq.gz	abd4d8e13a535a5c6a0142b70f9b7ec6	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
LPL_P_PM1_230622	PRJEB115259	PromethION	LPL_P_PM1_230622_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	LPL_P_PM1_230622.fastq.gz	22d5c63f93e65e98978935637978f528	Metagenomic DNA was extracted from canine fecal samples using the ZymoBIOMICS MagBead DNA/RNA workflow. Native-barcoded Oxford Nanopore ligation libraries were sequenced on PromethION.
