stable_candidate_id	original_bin_group	candidate_id	selected_fasta_name	reselected_fasta_path	source_fasta_name	source_origin	source_path	size_bytes	sha256	binner_or_reassembly_class	source_assembly	binner_family_from_existing_summary	completeness	contamination	quality_score_completeness_minus_5x_contamination	n50	genome_size	quality_class	candidate_count_in_original_group	eligible_candidate_count_in_original_group	drep99_retained_by_internal_filter	drep99_cluster_id	drep99_representative	drep99_is_representative	drep95_retained_by_internal_filter	drep95_cluster_id	drep95_representative	drep95_is_representative	gtdb_taxonomy_scope	gtdb_gtdb_domain_summary	gtdb_classification	gtdb_classification_method	gtdb_closest_genome_ani	gtdb_closest_genome_af	gtdb_note	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
DOGMAG_MAGC000001	bin2	bin2_mag_polished.fa	bin2__bin2_mag_polished.fa.fa	reselected_mq_candidates/bin2__bin2_mag_polished.fa.fa	bin2_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin2_mag_polished.fa	2162597	421dd486a46cd0f7c9d9cb0c1570f9e22452a7933fa11eb63a767dbcb40a3573	BASALT polished	bin2_mag_polished	unknown	81.8	1.1	76.3	54498.0	2161306.0	medium-quality	4	2	yes	62_13	bin717__bin717_mag_polished.fa.fa	no	yes	59_1	bin717__bin717_mag_polished.fa.fa	no	drep99_cluster_representative	bacteria	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	ani_screen	98.76	0.875	classification based on ANI only	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp900540455
DOGMAG_MAGC000002	bin5	bin5_mag_polished.fa	bin5__bin5_mag_polished.fa.fa	reselected_mq_candidates/bin5__bin5_mag_polished.fa.fa	bin5_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin5_mag_polished.fa	3297188	c51bf92ef8793779752b4dd3c87cdbb1a43a4c141d60bab6e7e105db397d5077	BASALT polished	bin5_mag_polished	unknown	99.82	0.0	99.82	659131.0	3296937.0	high-completeness/low-contamination	4	1	yes	129_6	bin5__bin5_mag_polished.fa.fa	yes	yes	121_1	bin6719__bin6719_mag_polished.fa.fa	no	self_drep99_representative	bacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification fully defined by topology	N/A	N/A	classification based on placement in class-level tree	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	
DOGMAG_MAGC000003	bin10	bin10_SPAdes_hybrid_re-assembly_contigs.fa	bin10__bin10_SPAdes_hybrid_re-assembly_contigs.fa.fa	reselected_mq_candidates/bin10__bin10_SPAdes_hybrid_re-assembly_contigs.fa.fa	bin10_SPAdes_hybrid_re-assembly_contigs.fa	final_basalt_binset	BASALT_final_binset/bin10_SPAdes_hybrid_re-assembly_contigs.fa	1714904	f7923ed3e54a9b1ba08a1e42352454a4cddeaec9bd44f3b2c387deb910d52170	SPAdes hybrid reassembly	bin10_SPAdes_hybrid_re-assembly_contigs	unknown	78.19	2.92	63.589999999999996	24000.0	1708054.0	medium-quality	4	2	yes	8_8	bin343__bin343_SPAdes_hybrid_re-assembly_contigs.fa.fa	no	yes	7_1	bin4473__bin4473_mag_polished.fa.fa	no	drep99_cluster_representative	bacteria	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	ani_screen	97.03	0.829	classification based on ANI only	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis
DOGMAG_MAGC000004	bin15	bin15_mag_polished.fa	bin15__bin15_mag_polished.fa.fa	reselected_mq_candidates/bin15__bin15_mag_polished.fa.fa	bin15_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin15_mag_polished.fa	1976826	ee5649d7611715e4d5d9b764f3096df33d62998b0e4cf8b234fdeae063efdeea	BASALT polished	bin15_mag_polished	unknown	51.61	5.0	26.61	53223.0	1975323.0	medium-quality	4	1	no				no				not_in_drep99_retained_set													
DOGMAG_MAGC000005	bin19	bin19_mag_polished.fa	bin19__bin19_mag_polished.fa.fa	reselected_mq_candidates/bin19__bin19_mag_polished.fa.fa	bin19_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin19_mag_polished.fa	2834761	d016dccd061ba72bb72845200840fe1ce76660e8c39bda5311012e7d493e1d7b	BASALT polished	bin19_mag_polished	unknown	81.74	7.68	43.339999999999996	38359.0	2830025.0	medium-quality	4	1	yes	104_4	bin7995__bin7995_mag_polished.fa.fa	no	yes	98_1	bin9125__bin9125_mag_polished.fa.fa	no	drep99_cluster_representative	bacteria	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900556555	ani_screen	96.41	0.718	classification based on ANI only	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900556555
DOGMAG_MAGC000006	bin20	bin20_mag_polished.fa	bin20__bin20_mag_polished.fa.fa	reselected_mq_candidates/bin20__bin20_mag_polished.fa.fa	bin20_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin20_mag_polished.fa	1836379	8952a2a4f9a5dd28cdbf9a0ae867888bde8b376ba5214885a82d23e94e75b321	BASALT polished	bin20_mag_polished	unknown	77.04	3.26	60.74000000000001	32813.0	1832959.0	medium-quality	4	1	yes	43_3	bin20__bin20_mag_polished.fa.fa	yes	yes	42_1	bin8289__bin8289_mag_polished.fa.fa	no	self_drep99_representative	bacteria	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	ani_screen	98.39	0.849	classification based on ANI only	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella hominis
DOGMAG_MAGC000007	bin22	bin22_mag_polished.fa	bin22__bin22_mag_polished.fa.fa	reselected_mq_candidates/bin22__bin22_mag_polished.fa.fa	bin22_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin22_mag_polished.fa	2803426	001b2c50bce7a1b76d0fede186ec80c15ba5994c95556adf013ce6bfe1a512e4	BASALT polished	bin22_mag_polished	unknown	50.89	1.3	44.39	2500880.0	2803322.0	medium-quality	1	1	yes	132_2	bin5914__bin5914_mag_polished.fa.fa	no	yes	124_1	bin1552__bin1552_mag_polished.fa.fa	no	drep99_cluster_representative	bacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp000437675	ani_screen	98.93	0.769	classification based on ANI only	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp000437675
DOGMAG_MAGC000008	bin23	bin23_mag_polished.fa	bin23__bin23_mag_polished.fa.fa	reselected_mq_candidates/bin23__bin23_mag_polished.fa.fa	bin23_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin23_mag_polished.fa	2448517	7da42bc10395587e07595f9cb4eb66298ceb62c5eeb7ff7a2cb7271d2cfd3d4b	BASALT polished	bin23_mag_polished	unknown	74.05	3.91	54.5	249575.0	2448202.0	medium-quality	4	1	yes	130_5	bin4322__bin4322_mag_polished.fa.fa	no	yes	122_1	bin6044__bin6044_mag_polished.fa.fa	no	drep99_cluster_representative	bacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900541335	ani_screen	98.61	0.835	classification based on ANI only	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp900541335
DOGMAG_MAGC000009	bin27	bin27_mag_polished.fa	bin27__bin27_mag_polished.fa.fa	reselected_mq_candidates/bin27__bin27_mag_polished.fa.fa	bin27_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin27_mag_polished.fa	3051956	4f90055ce0db19d4166599d16c77aaeb585f687a660e551eb8fecd680d129b7b	BASALT polished	bin27_mag_polished	unknown	57.24	4.64	34.040000000000006	392054.0	3051695.0	medium-quality	3	1	yes	82_4	bin9293__bin9293_mag_polished.fa.fa	no	yes	77_1	bin8903__bin8903_mag_polished.fa.fa	no	drep99_cluster_representative	bacteria	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625	ani_screen	98.47	0.836	classification based on ANI only	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp001517625
DOGMAG_MAGC000010	bin28	bin28_mag_polished.fa	bin28__bin28_mag_polished.fa.fa	reselected_mq_candidates/bin28__bin28_mag_polished.fa.fa	bin28_mag_polished.fa	final_basalt_binset	BASALT_final_binset/bin28_mag_polished.fa	1481648	c30ecb3e7e5bdd48037ad69b9eeef7442eafac7abdc9dc60f3d854766ba956cb	BASALT polished	bin28_mag_polished	unknown	85.71	2.0	75.71	11519.0	1476688.0	medium-quality	4	2	yes	70_2	bin2329__bin2329_mag_polished.fa.fa	no	yes	67_1	bin4806__bin4806_mag_polished.fa.fa	no	drep99_cluster_representative	bacteria	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	ani_screen	99.17	0.938	classification based on ANI only	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis
