mag_alias	mag_sample_accession	biosample_accession	scientific_name	ncbi_tax_id	gtdb_species	gtdb_taxonomy	source_assembly_id	source_sample_accessions	contig_count	genome_size_bp	completeness_percent	contamination_percent	n50_bp	assembly_analysis_accession	assembly_submission_status
DOGMAG_ANI95_MAG001	ERS31049448	SAMEA123300624	Turicibacter bilis	2735723	Turicibacter bilis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis	DOGMAG_ASM016	ERS30645982,ERS30645983	23	2824293	83.21	1.62	336964	ERZ29813345	submitted_multi_contig
DOGMAG_ANI95_MAG002	ERS31049449	SAMEA123300625	Lactobacillus johnsonii ATCC 33200	525330	Lactobacillus johnsonii	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	DOGMAG_ASM017	ERS30645944,ERS30645945	4	1757733	99.03	0.0	1727568	ERZ29813346	submitted_multi_contig
DOGMAG_ANI95_MAG003	ERS31049450	SAMEA123300626	Anaerostipes caccae L1-92	411490	Anaerostipes caccae	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae	DOGMAG_ASM021	ERS30645938,ERS30645939	75	2221195	66.12	0.0	58060	ERZ29813347	submitted_multi_contig
DOGMAG_ANI95_MAG004	ERS31049451	SAMEA123300627	Faecalibacillus intestinalis	1982626	Faecalibacillus intestinalis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	DOGMAG_ASM014	ERS30645990,ERS30645991	2	2611057	99.06	0.0	2389218	ERZ29813348	submitted_multi_contig
DOGMAG_ANI95_MAG005	ERS31049452	SAMEA123300628	uncultured Fusobacterium sp.	159267	Fusobacterium_A sp900555485	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900555485	DOGMAG_ASM007	ERS30645988,ERS30645989	4	1209301	68.38	0.0	675366	ERZ29813349	submitted_multi_contig
DOGMAG_ANI95_MAG006	ERS31049453	SAMEA123300629	Thomasclavelia spiroformis	29348	Thomasclavelia spiroformis_A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia spiroformis_A	DOGMAG_ASM014	ERS30645990,ERS30645991	19	2491024	92.45	0.94	247564	ERZ29813350	submitted_multi_contig
DOGMAG_ANI95_MAG007	ERS31049454	SAMEA123300630	uncultured Lachnospiraceae bacterium	297314	UBA9414 sp958446945	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9414;s__UBA9414 sp958446945	DOGMAG_ASM031	ERS30645962	84	2072838	92.56	3.71	37047	ERZ29813351	submitted_multi_contig
DOGMAG_ANI95_MAG008	ERS31049455	SAMEA123300631	uncultured Oscillospiraceae bacterium	707003	Faecousia sp963560135	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp963560135	DOGMAG_ASM031	ERS30645962	40	2122060	93.15	4.03	169906	ERZ29813352	submitted_multi_contig
DOGMAG_ANI95_MAG009	ERS31049456	SAMEA123300632	uncultured Erysipelotrichaceae bacterium	331630	CALDMQ01 sp937917505	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__CALDMQ01 sp937917505	DOGMAG_ASM040	SAMEA115615481,SAMEA115615482,SAMEA115615483,SAMEA115615484,SAMEA115615485,SAMEA115615486,SAMEA115615490,SAMEA115615491,SAMEA117651688	37	1710966	97.17	4.72	111676	ERZ29813353	submitted_multi_contig
DOGMAG_ANI95_MAG010	ERS31049457	SAMEA123300633	Megamonas funiformis	437897	Megamonas funiformis	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	DOGMAG_ASM035	ERS30645936,ERS30645937	67	2089074	98.73	0.63	53416	ERZ29813354	submitted_multi_contig
DOGMAG_ANI95_MAG011	ERS31049458	SAMEA123300634	Blautia glucerasea	536633	Blautia_A sp937880195	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp937880195	DOGMAG_ASM031	ERS30645962	127	2328467	87.45	2.69	29871	ERZ29813355	submitted_multi_contig
DOGMAG_ANI95_MAG012	ERS31049459	SAMEA123300635	Blautia sp. XA-2221	2903961	Blautia_A sp028767025	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp028767025	DOGMAG_ASM033	ERS30645966,ERS30645967	29	2495883	98.22	0.0	114298	ERZ29813356	submitted_multi_contig
DOGMAG_ANI95_MAG013	ERS31049460	SAMEA123300636	uncultured Lachnospiraceae bacterium	297314	Schaedlerella sp900765975	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp900765975	DOGMAG_ASM031	ERS30645962	82	1981707	83.35	0.93	36981	ERZ29813357	submitted_multi_contig
DOGMAG_ANI95_MAG014	ERS31049461	SAMEA123300637	Fusobacterium perfoetens	852	Fusobacterium_B sp900554355	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554355	DOGMAG_ASM007	ERS30645988,ERS30645989	2	870737	60.67	2.3	514765	ERZ29813358	submitted_multi_contig
DOGMAG_ANI95_MAG015	ERS31049462	SAMEA123300638	Candidatus Dwaynesavagella gallinarum	2840477	Dwaynesavagella gallinarum	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Dwaynesavagella;s__Dwaynesavagella gallinarum	DOGMAG_ASM037	ERS30645940,ERS30645941	358	1501252	83.89	1.92	5087	ERZ29813359	submitted_multi_contig
DOGMAG_ANI95_MAG016	ERS31049463	SAMEA123300639	uncultured Lachnospiraceae bacterium	297314	Faecalimonas sp900550235	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900550235	DOGMAG_ASM023	ERS30645978,ERS30645979	14	2572833	97.76	0.44	260377	ERZ29813360	submitted_multi_contig
DOGMAG_ANI95_MAG017	ERS31049464	SAMEA123300640	Faecalimonas umbilicata	1912855	Faecalimonas umbilicata	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	DOGMAG_ASM009	ERS30645930,ERS30645931	18	2648465	97.15	0.0	203885	ERZ29813361	submitted_multi_contig
DOGMAG_ANI95_MAG018	ERS31049465	SAMEA123300641	uncultured Blautia sp.	765821	Blautia_A sp900547615	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900547615	DOGMAG_ASM038	ERS30645992,ERS30645993	50	1517743	54.39	3.51	54977	ERZ29813362	submitted_multi_contig
DOGMAG_ANI95_MAG019	ERS31049466	SAMEA123300642	uncultured Slackia sp.	665903	Slackia sp959608125	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia sp959608125	DOGMAG_ASM036	ERS30645958	288	1760120	89.46	0.99	8057	ERZ29813363	submitted_multi_contig
DOGMAG_ANI95_MAG020	ERS31049467	SAMEA123300643	Veillonella seminalis	1502943	Veillonella_A seminalis	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A seminalis	DOGMAG_ASM037	ERS30645940,ERS30645941	440	1627482	76.45	2.54	4127	ERZ29813364	submitted_multi_contig
DOGMAG_ANI95_MAG021	ERS31049468	SAMEA123300644	Eubacterium callanderi	53442	Eubacterium callanderi	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi	DOGMAG_ASM037	ERS30645940,ERS30645941	170	3877325	92.75	0.0	35557	ERZ29813365	submitted_multi_contig
DOGMAG_ANI95_MAG022	ERS31049469	SAMEA123300645	Collinsella sp. BA40	2560852	Collinsella sp008014645	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp008014645	DOGMAG_ASM039	SAMEA117492633,SAMEA117492634,SAMEA117492635,SAMEA117492636,SAMEA117492637,SAMEA117492638,SAMEA117492639,SAMEA117492640,SAMEA117492641,SAMEA117492642,SAMEA117492643,SAMEA117492644,SAMEA117492645,SAMEA117492646,SAMEA117492647,SAMEA117492648,SAMEA117492649,SAMEA117492650,SAMEA117492651,SAMEA117492652,SAMEA117492653	286	1528965	83.17	0.89	7011	ERZ29813366	submitted_multi_contig
DOGMAG_ANI95_MAG023	ERS31049470	SAMEA123300646	Clostridium perfringens	1502	Sarcina perfringens	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	DOGMAG_ASM034	ERS30645968,ERS30645969	50	3254541	100.0	0.0	110952	ERZ29813367	submitted_multi_contig
DOGMAG_ANI95_MAG024	ERS31049471	SAMEA123300647	Faecalimonas sp.	2005356		d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	DOGMAG_ASM007	ERS30645988,ERS30645989	78	2358488	56.22	0.0	179349	ERZ29813368	submitted_multi_contig
DOGMAG_ANI95_MAG025	ERS31049472	SAMEA123300648	Fusobacterium perfoetens	852	Fusobacterium_B sp900554885	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900554885	DOGMAG_ASM027	ERS30645994,ERS30645995	5	1721888	93.26	0.0	495038	ERZ29813369	submitted_multi_contig
DOGMAG_ANI95_MAG026	ERS31049473	SAMEA123300649	Clostridium saudiense	1414720	Clostridium saudiense	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium saudiense	DOGMAG_ASM035	ERS30645936,ERS30645937	881	2684854	64.85	2.78	3118	ERZ29813370	submitted_multi_contig
DOGMAG_ANI95_MAG027	ERS31049474	SAMEA123300650	Prevotella sp. CAG:891	1262937	Alloprevotella sp000437675	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp000437675	DOGMAG_ASM016	ERS30645982,ERS30645983	1	3146298	88.11	0.35	3146298		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG028	ERS31049475	SAMEA123300651	Bifidobacterium pullorum subsp. gallinarum	78344	Bifidobacterium pullorum_B	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B	DOGMAG_ASM041	ERS30645942,ERS30645943	178	2035252	93.93	1.63	16837	ERZ29813371	submitted_multi_contig
DOGMAG_ANI95_MAG029	ERS31049476	SAMEA123300652	uncultured Sutterella sp.	286133	Sutterella sp905186105	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Sutterella;s__Sutterella sp905186105	DOGMAG_ASM010	ERS30645970,ERS30645971	71	2429407	97.52	1.24	61548	ERZ29813372	submitted_multi_contig
DOGMAG_ANI95_MAG030	ERS31049477	SAMEA123300653	Blautia hansenii	1322	Blautia sp900541955	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900541955	DOGMAG_ASM021	ERS30645938,ERS30645939	1	2719708	67.27	0.32	2719708		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG031	ERS31049478	SAMEA123300654	Sutterella wadsworthensis 2_1_59BFAA	742823	Sutterella wadsworthensis_A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Sutterella;s__Sutterella wadsworthensis_A	DOGMAG_ASM020	ERS30645972,ERS30645973	75	2143227	93.79	1.24	62320	ERZ29813373	submitted_multi_contig
DOGMAG_ANI95_MAG032	ERS31049479	SAMEA123300655	uncultured Lachnospiraceae bacterium	297314	Faecalimonas sp900551895	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900551895	DOGMAG_ASM030	ERS30645960,ERS30645961	1	2093599	92.05	0.95	2093599		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG033	ERS31049480	SAMEA123300656	uncultured Clostridium sp.	59620	Merdicola sp900552655	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__Merdicola;s__Merdicola sp900552655	DOGMAG_ASM019	ERS30645984,ERS30645985	1	1682907	74.95	2.46	1682907		pending_single_contig_helpdesk_or_not_submitted
DOGMAG_ANI95_MAG034	ERS31049481	SAMEA123300657	Campylobacter upsaliensis	28080	Campylobacter_D upsaliensis	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D upsaliensis	DOGMAG_ASM032	SAMEA117492696,SAMEA117492697	47	1605622	99.15	0.37	59458	ERZ29813374	submitted_multi_contig
DOGMAG_ANI95_MAG035	ERS31049482	SAMEA123300658	Mediterraneibacter sp.	2316022		d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	DOGMAG_ASM030	ERS30645960,ERS30645961	176	2345842	87.98	0.0	29363	ERZ29813375	submitted_multi_contig
DOGMAG_ANI95_MAG036	ERS31049483	SAMEA123300659	uncultured Prevotella sp.	159272	Alloprevotella sp937906495	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp937906495	DOGMAG_ASM031	ERS30645962	17	1920863	61.28	0.37	195163	ERZ29813376	submitted_multi_contig
DOGMAG_ANI95_MAG037	ERS31049484	SAMEA123300660	Bifidobacterium pseudolongum subsp. globosum	1690	Bifidobacterium globosum	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum	DOGMAG_ASM040	SAMEA115615481,SAMEA115615482,SAMEA115615483,SAMEA115615484,SAMEA115615485,SAMEA115615486,SAMEA115615490,SAMEA115615491,SAMEA117651688	23	1882050	94.04	1.44	115567	ERZ29813377	submitted_multi_contig
DOGMAG_ANI95_MAG038	ERS31049485	SAMEA123300661	Lachnoclostridium sp. Marseille-P6806	2364793	Brotaphodocola sp900538475	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp900538475	DOGMAG_ASM031	ERS30645962	83	2670760	95.79	0.63	50195	ERZ29813467	submitted_multi_contig
DOGMAG_ANI95_MAG039	ERS31049486	SAMEA123300662	Enterococcus faecalis	1351	Enterococcus faecalis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	DOGMAG_ASM033	ERS30645966,ERS30645967	38	2619328	96.63	0.0	101954	ERZ29813471	submitted_multi_contig
DOGMAG_ANI95_MAG040	ERS31049487	SAMEA123300663	Klebsiella variicola	244366	Klebsiella variicola	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola	DOGMAG_ASM032	SAMEA117492696,SAMEA117492697	827	5073297	71.03	0.0	8137	ERZ29813472	submitted_multi_contig
DOGMAG_ANI95_MAG041	ERS31049488	SAMEA123300664	Paraclostridium tenue	1737	Paraclostridium tenue	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	DOGMAG_ASM036	ERS30645958	673	2080632	77.34	3.49	3271	ERZ29813473	submitted_multi_contig
