public_assembly_id	assembly_file_public	assembly_class	assembler	linked_fastq_records	contig_count	total_assembly_length_bp	longest_contig_bp	shortest_contig_bp	mean_contig_length_bp	median_contig_length_bp	n50_bp	n90_bp	gc_percent	n_percent	contigs_ge_2500_bp	contigs_ge_5000_bp	minimum_retained_contig_length_bp	metric_status
DOGMAG_ASM001	DOGMAG_ASM001.fasta	long_read_only	Flye --meta	2	2352	125636246	3488561	1508	53416.77	21117.50	134352	20691	40.6172	0.0000	2296	2158	1508	ok
DOGMAG_ASM002	DOGMAG_ASM002.fasta	long_read_only	Flye --meta	2	5153	128760237	3624873	1692	24987.43	12993.00	42302	10304	42.8898	0.0000	5083	4566	1692	ok
DOGMAG_ASM003	DOGMAG_ASM003.fasta	long_read_only	Flye --meta	2	5120	168595228	2500880	1509	32928.76	15991.50	63138	13662	42.3060	0.0000	4988	4548	1509	ok
DOGMAG_ASM004	DOGMAG_ASM004.fasta	long_read_only	Flye --meta	2	3425	155889202	3109124	1500	45515.10	15267.00	148638	17144	39.2115	0.0000	3265	2901	1500	ok
DOGMAG_ASM005	DOGMAG_ASM005.fasta	long_read_only	Flye --meta	2	5752	152158211	3437384	1527	26453.10	13102.00	50235	10784	42.2369	0.0000	5648	5000	1527	ok
DOGMAG_ASM006	DOGMAG_ASM006.fasta	long_read_only	Flye --meta	1	2269	110562400	3390293	1593	48727.37	22261.00	99050	19620	42.9542	0.0000	2237	2114	1593	ok
DOGMAG_ASM007	DOGMAG_ASM007.fasta	long_read_only	Flye --meta	2	4406	164970971	3065115	1501	37442.34	13333.50	125963	13921	41.2851	0.0000	4227	3689	1501	ok
DOGMAG_ASM008	DOGMAG_ASM008.fasta	long_read_only	Flye --meta	2	5130	157677214	1946643	1516	30736.30	14526.50	60739	12371	42.4729	0.0000	5008	4537	1516	ok
DOGMAG_ASM009	DOGMAG_ASM009.fasta	long_read_only	Flye --meta	2	7020	192675035	3539966	1505	27446.59	12192.50	61654	10636	42.0176	0.0000	6842	5997	1505	ok
DOGMAG_ASM010	DOGMAG_ASM010.fasta	long_read_only	Flye --meta	4	5991	164292258	1679677	1502	27423.18	11637.00	63321	11023	42.3462	0.0000	5629	4690	1502	ok
DOGMAG_ASM011	DOGMAG_ASM011.fasta	long_read_only	Flye --meta	1	1667	72719603	3512192	1541	43623.04	23046.00	73075	18425	41.9458	0.0000	1656	1610	1541	ok
DOGMAG_ASM012	DOGMAG_ASM012.fasta	long_read_only	Flye --meta	2	4602	128116218	1164547	1518	27839.25	13960.50	51968	11365	42.7129	0.0000	4519	4086	1518	ok
DOGMAG_ASM013	DOGMAG_ASM013.fasta	long_read_only	Flye --meta	2	2834	97351942	5130015	1500	34351.43	12812.00	89552	13432	44.6219	0.0000	2663	2251	1500	ok
DOGMAG_ASM014	DOGMAG_ASM014.fasta	long_read_only	Flye --meta	2	6002	243859564	4968147	1510	40629.72	15392.00	123607	15070	41.4429	0.0000	5870	5322	1510	ok
DOGMAG_ASM015	DOGMAG_ASM015.fasta	long_read_only	Flye --meta	2	2410	107300065	4789488	1501	44522.85	15167.50	149329	16534	42.8820	0.0000	2341	2073	1501	ok
DOGMAG_ASM016	DOGMAG_ASM016.fasta	long_read_only	Flye --meta	2	5871	262985192	3473920	1503	44793.93	16984.00	134186	17019	42.9882	0.0000	5702	5204	1503	ok
DOGMAG_ASM017	DOGMAG_ASM017.fasta	long_read_only	Flye --meta	2	5343	203379587	2098644	1501	38064.68	16425.00	87220	15152	42.6472	0.0000	5212	4759	1501	ok
DOGMAG_ASM018	DOGMAG_ASM018.fasta	long_read_only	Flye --meta	2	6101	143985187	980539	1500	23600.26	11838.00	44691	9964	42.2805	0.0000	5795	4938	1500	ok
DOGMAG_ASM019	DOGMAG_ASM019.fasta	long_read_only	Flye --meta	2	5181	247857907	4709324	1503	47839.78	15808.00	182188	18271	42.5028	0.0000	4943	4350	1503	ok
DOGMAG_ASM020	DOGMAG_ASM020.fasta	long_read_only	Flye --meta	4	6423	149932352	1922359	1501	23343.04	8897.00	65722	8968	41.1373	0.0000	5805	4502	1501	ok
DOGMAG_ASM021	DOGMAG_ASM021.fasta	long_read_only	Flye --meta	2	3369	132583442	3304019	1503	39353.95	16425.00	89203	15260	42.9907	0.0000	3297	3006	1503	ok
DOGMAG_ASM022	DOGMAG_ASM022.fasta	long_read_only	Flye --meta	1	2609	87860216	3481300	2001	33675.82	18173.00	57162	14482	42.6001	0.0000	2584	2402	2001	ok
DOGMAG_ASM023	DOGMAG_ASM023.fasta	long_read_only	Flye --meta	2	6465	240328606	3460171	1512	37173.80	12992.00	119211	14491	42.3714	0.0000	6052	5117	1512	ok
DOGMAG_ASM024	DOGMAG_ASM024.fasta	long_read_only	Flye --meta	2	5519	185829062	1926256	1500	33670.78	14619.00	82142	13784	42.1907	0.0000	5276	4620	1500	ok
DOGMAG_ASM025	DOGMAG_ASM025.fasta	long_read_only	Flye --meta	1	1341	42932710	3597244	1513	32015.44	16593.00	51817	13231	42.8537	0.0000	1324	1217	1513	ok
DOGMAG_ASM026	DOGMAG_ASM026.fasta	long_read_only	Flye --meta	2	8631	194713491	2016630	1504	22559.78	10857.00	44497	9175	42.6298	0.0000	8238	6945	1504	ok
DOGMAG_ASM027	DOGMAG_ASM027.fasta	long_read_only	Flye --meta	2	5344	232583647	6163804	1547	43522.39	16231.50	130465	16471	42.4457	0.0000	5225	4692	1547	ok
DOGMAG_ASM028	DOGMAG_ASM028.fasta	long_read_only	Flye --meta	4	9551	239661529	3488581	1501	25092.82	8887.00	78097	9598	41.1887	0.0000	8513	6595	1501	ok
DOGMAG_ASM029	DOGMAG_ASM029.fasta	long_read_only	Flye --meta	2	2772	126962844	3298339	1507	45801.89	23283.50	86133	18900	40.5498	0.0000	2746	2639	1507	ok
DOGMAG_ASM030	DOGMAG_ASM030.fasta	long_read_only	Flye --meta	2	9786	220736568	3512447	1500	22556.36	6363.00	86448	8069	43.8966	0.0000	8399	5665	1500	ok
DOGMAG_ASM031	DOGMAG_ASM031.fasta	hybrid_long_short_read	OPERA-MS	37	27836	224843023	2062414	1500	8077.42	2945.50	21170	2523	42.7737	0.0003	16205	8598	1500	ok
DOGMAG_ASM032	DOGMAG_ASM032.fasta	hybrid_long_short_read	OPERA-MS	22	10825	94358608	745874	1500	8716.73	2956.00	25926	2652	45.1724	0.0003	6404	3425	1500	ok
DOGMAG_ASM033	DOGMAG_ASM033.fasta	hybrid_long_short_read	OPERA-MS	18	9008	77921431	1274369	1500	8650.25	2711.50	35123	2498	41.9834	0.0001	4926	2277	1500	ok
DOGMAG_ASM034	DOGMAG_ASM034.fasta	hybrid_long_short_read	OPERA-MS	14	10143	88011276	505378	1500	8677.05	2991.00	28213	2658	42.2579	0.0003	6020	3054	1500	ok
DOGMAG_ASM035	DOGMAG_ASM035.fasta	hybrid_long_short_read	OPERA-MS	18	15000	124285282	1748465	1500	8285.69	3221.00	19287	2695	42.5166	0.0005	9325	5189	1500	ok
